T,Elapsed,Simulate
0,0,0.02020073
1,0,0.03123689
2,0.01999999,0.02990127
3,0.1163624,0.0249052
4,0.0494476,0.02033234
5,0.04290939,0.02258253
6,0.0611531,0.02238679
7,0.0496921,0.02068877
8,0.0444719,0.01986241
9,0.04312691,0.02169228
10,0.05049089,0.02231574
11,0.05365551,0.01723671
12,0.0410847,0.01943922
13,0.045962,0.02222204
14,0.0478695,0.01977825
15,0.0419036,0.01868725
16,0.0541101,0.02440691
17,0.0487546,0.01890612
18,0.0461748,0.02035356
19,0.058129,0.01930833
20,0.0629233,0.02123189
21,0.05081329,0.01868868
22,0.0443071,0.01947379
23,0.0453575,0.01921535
24,0.0506699,0.01863217
25,0.0453485,0.02447629
26,0.0505794,0.02585578
27,0.0554176,0.02781558
28,0.07036401,0.01822639
29,0.0416466,0.01668167
30,0.0415177,0.01682138
31,0.0437573,0.0236938
32,0.049288,0.01716542
33,0.0606157,0.02712131
34,0.0538901,0.02235699
35,0.0490051,0.01849079
36,0.0411688,0.02296281
37,0.0584925,0.02242064
38,0.04999131,0.02034783
39,0.04207399,0.02019739
40,0.0410558,0.01673031
41,0.0353845,0.01398087
42,0.0404031,0.01561618
43,0.0362663,0.01364923
44,0.0380959,0.01527667
45,0.035959,0.0146091
46,0.03277729,0.01515865
47,0.033305,0.01347613
48,0.0388094,0.0141151
49,0.03240731,0.0153017
50,0.0332128,0.01187658
51,0.0379724,0.01618505
52,0.0382108,0.01670098
53,0.0379591,0.01418138
54,0.04114591,0.01522207
55,0.0351078,0.0139842
56,0.0333708,0.0137372
57,0.0367903,0.01626563
58,0.0392118,0.0151608
59,0.0378666,0.01527739
60,0.04293539,0.01514983
61,0.03772071,0.0132184
62,0.03331399,0.01278162
63,0.0356165,0.01296711
64,0.0320917,0.0163517
65,0.0379201,0.01548672
66,0.0393188,0.01263785
67,0.0323628,0.0140636
68,0.0323808,0.01420498
69,0.0335821,0.01328897
70,0.0351421,0.01357222
71,0.0337662,0.01294804
72,0.0374766,0.01693058
73,0.0376065,0.01654148
74,0.0373053,0.01615834
75,0.0353886,0.01564193
76,0.035004,0.01281214
77,0.03767009,0.01339364
78,0.0416328,0.01413584
79,0.0382286,0.01410079
80,0.038694,0.01511621
81,0.04221831,0.0135777
82,0.0426086,0.01305938
83,0.0481313,0.01344252
84,0.0388523,0.01263762
85,0.0489733,0.0155642
86,0.0588557,0.01430058
87,0.0654448,0.0146904
88,0.0419656,0.01466966
89,0.0339132,0.01270056
90,0.0312731,0.01472878
91,0.0347651,0.01268029
92,0.0326051,0.01365232
93,0.0329943,0.01363635
94,0.0391008,0.01314878
95,0.0350007,0.0151484
96,0.0331208,0.01310706
97,0.0325336,0.01256227
98,0.0336109,0.01356602
99,0.0338108,0.01265001
100,0.037793,0.0142591
101,0.0373007,0.01322603
102,0.0329533,0.01358128
103,0.033795,0.01222682
104,0.0325535,0.01411414
105,0.0321592,0.01160216
106,0.03909491,0.01429677
107,0.0360142,0.0141542
108,0.0344541,0.01316309
109,0.0331957,0.01309443
110,0.0437621,0.01371908
111,0.0328783,0.01318169
112,0.037871,0.01396155
113,0.0336837,0.01383185
114,0.034932,0.01233363
115,0.0314332,0.01344705
116,0.0309006,0.01281548
117,0.0314198,0.01502514
118,0.0397727,0.01259398
119,0.0303585,0.01356649
120,0.032548,0.01232839
121,0.0311236,0.01285243
122,0.030484,0.01314187
123,0.0338005,0.01479077
124,0.03648411,0.01400971
125,0.04418639,0.01406503
126,0.0389417,0.01431227
127,0.041953,0.0124917
128,0.03775889,0.02018976
129,0.039724,0.01970315
130,0.052682,0.01210642
131,0.0309189,0.01385832
132,0.0361892,0.0177176
133,0.0363952,0.01608729
134,0.0368588,0.01220655
135,0.0342726,0.01428533
136,0.038959,0.01237297
137,0.0333357,0.01302671
138,0.0343422,0.01741123
139,0.039732,0.01528478
140,0.0360675,0.01365781
141,0.0374433,0.01668453
142,0.047817,0.01462936
143,0.0357462,0.01260376
144,0.0324389,0.01306343
145,0.0362964,0.01350594
146,0.0367286,0.01267028
147,0.0331315,0.01518512
148,0.0393327,0.01207614
149,0.0316772,0.01259494
150,0.0341514,0.01315308
151,0.0327749,0.014781
152,0.0357159,0.01234365
153,0.03237,0.01663232
154,0.0457098,0.01665354
155,0.0349609,0.01257348
156,0.031783,0.01344132
157,0.0366162,0.01713991
158,0.0402539,0.01741195
159,0.0370204,0.01358795
160,0.041251,0.01224184
161,0.0312364,0.01199937
162,0.0309927,0.01304793
163,0.0310938,0.0131259
164,0.0394653,0.01258421
165,0.0316142,0.01274204
166,0.0445519,0.01462197
167,0.03831,0.01237416
168,0.0331732,0.0140841
169,0.0331862,0.01311398
170,0.0365897,0.01710176
171,0.0372086,0.01319075
172,0.0386837,0.01469374
173,0.0349356,0.01325655
174,0.0324047,0.01147699
175,0.0350149,0.01238036
176,0.03149619,0.0144434
177,0.0377951,0.01516342
178,0.0397552,0.0164957
179,0.0350138,0.01441836
180,0.0359085,0.01203966
181,0.0316857,0.01578331
182,0.0366411,0.01412106
183,0.03348649,0.01471257
