T,Elapsed,Simulate
0,0,0.0337441
1,0,0.01707292
2,0.01999999,0.01561165
3,0.0440326,0.01758981
4,0.0265709,0.01887751
5,0.0265039,0.01584172
6,0.0250884,0.01659465
7,0.0253412,0.01759887
8,0.025127,0.01787186
9,0.0246837,0.01996493
10,0.0284471,0.02090406
11,0.029185,0.02009368
12,0.0278713,0.0203383
13,0.0278754,0.01871991
14,0.0256885,0.02006221
15,0.0282892,0.01823545
16,0.0267798,0.01890659
17,0.0268956,0.01968408
18,0.0279979,0.01855898
19,0.0271656,0.01922035
20,0.0285041,0.01899791
21,0.0322022,0.02225542
22,0.0308427,0.02988076
23,0.0380083,0.02881956
24,0.0383065,0.02556348
25,0.0332425,0.018466
26,0.0270464,0.02072072
27,0.030579,0.02028918
28,0.0284238,0.01889944
29,0.0269038,0.01985359
30,0.0283932,0.01807785
31,0.0259215,0.0266757
32,0.035055,0.0257802
33,0.0361196,0.02745056
34,0.0353214,0.0258534
35,0.0359669,0.0290091
36,0.0369146,0.02828407
37,0.0378946,0.02731204
38,0.0373138,0.02658606
39,0.0380929,0.03250289
40,0.0408812,0.03461933
41,0.041366,0.03149414
42,0.0404643,0.02957487
43,0.0373849,0.02892017
44,0.037749,0.02487183
45,0.0328984,0.02601552
46,0.0347649,0.02715945
47,0.03489861,0.0273037
48,0.03660529,0.01692629
49,0.0244982,0.01664257
50,0.0228282,0.01675391
51,0.0243543,0.01639605
52,0.0257901,0.01771736
53,0.0243181,0.01533556
54,0.0227844,0.01753259
55,0.02371679,0.01418781
56,0.0218497,0.01541662
57,0.0234238,0.01629734
58,0.022736,0.01618075
59,0.0244364,0.01620007
60,0.02337109,0.01463771
61,0.02261981,0.01560259
62,0.0243393,0.01673102
63,0.02276859,0.0149045
64,0.0225304,0.01508188
65,0.0242444,0.01560879
66,0.0233111,0.01466465
67,0.0231542,0.01630735
68,0.0233606,0.01475406
69,0.0230911,0.01683259
70,0.0232058,0.01625896
71,0.0232025,0.01599383
72,0.0231596,0.01671576
73,0.022271,0.01552701
74,0.0229303,0.01561952
75,0.0227637,0.01551104
76,0.0218617,0.01646686
77,0.0243741,0.01436114
78,0.0226635,0.01522923
79,0.0225522,0.01706195
80,0.0243992,0.01613498
81,0.0241721,0.01509237
82,0.02268369,0.01507902
83,0.0224193,0.01526475
84,0.022319,0.01659226
85,0.0242283,0.01518011
86,0.0226696,0.01767731
87,0.0251798,0.01537704
88,0.0232503,0.01536417
89,0.0222807,0.01540637
90,0.0226312,0.01559019
91,0.0231525,0.01797652
92,0.0260657,0.01481652
93,0.0215677,0.01539588
94,0.0234319,0.01643729
95,0.0225406,0.0148828
96,0.0247611,0.01672244
97,0.0242754,0.01634049
98,0.0230221,0.014431
99,0.0211025,0.01558733
100,0.0236292,0.01668262
101,0.02369709,0.01724744
102,0.024509,0.01613998
103,0.0220888,0.01580334
104,0.0243385,0.01553249
105,0.0232935,0.0156765
106,0.0226294,0.01477814
107,0.02305789,0.01576686
108,0.0216185,0.01576424
109,0.0225001,0.01592922
110,0.0235754,0.01485133
111,0.0234567,0.01542664
112,0.0221651,0.01616359
113,0.0238701,0.01558137
114,0.0243439,0.01543641
115,0.0226972,0.01557326
116,0.0233526,0.01667833
117,0.0231078,0.01617265
118,0.0221919,0.01506925
119,0.0223483,0.01503944
120,0.0228058,0.01606345
121,0.0232723,0.01664209
122,0.023161,0.01514125
123,0.0236121,0.01533246
124,0.0231178,0.01572824
125,0.02220879,0.01541352
126,0.0228881,0.01465797
127,0.0233128,0.01480818
128,0.02217961,0.01509857
129,0.0225084,0.01595616
130,0.0225751,0.01690602
131,0.0234743,0.01560354
132,0.0219794,0.0157783
133,0.0230588,0.01434302
134,0.0223749,0.01631379
135,0.0228169,0.01573181
136,0.0230858,0.01536417
137,0.0226683,0.01625371
138,0.0232315,0.01579857
139,0.0224347,0.01634836
140,0.02382,0.01533341
141,0.0220215,0.01669979
142,0.0227361,0.01581693
143,0.02285699,0.0151422
144,0.0225432,0.01513004
145,0.0232718,0.0165689
146,0.0228271,0.01608992
147,0.02264449,0.01531363
148,0.0233013,0.01579404
149,0.0230492,0.015692
150,0.022842,0.01656866
151,0.0245503,0.01573586
152,0.0225486,0.01666379
153,0.0220853,0.01514411
154,0.0227468,0.01555014
155,0.0237119,0.01616359
156,0.0233249,0.01541567
157,0.0223294,0.0163238
158,0.0236403,0.01471758
159,0.0219653,0.0156002
160,0.0228715,0.01557279
161,0.02288331,0.01586652
162,0.023153,0.01563454
163,0.0219192,0.01562691
164,0.02302881,0.01610303
165,0.023901,0.01592755
166,0.0230625,0.0156374
167,0.0230666,0.01548338
168,0.0229909,0.01583409
169,0.0218956,0.01562834
170,0.02311631,0.01635337
171,0.02304009,0.01521897
172,0.0221529,0.0156188
173,0.0228356,0.01566172
174,0.0233473,0.01564312
175,0.023134,0.01684213
176,0.02351139,0.01556754
177,0.02383061,0.01649427
178,0.0239268,0.01555991
179,0.0228888,0.01555634
180,0.0241508,0.01477528
181,0.0236816,0.01609564
182,0.023074,0.01708579
183,0.024122,0.01630092
184,0.023576,0.02153277
185,0.029064,0.01508069
186,0.0228934,0.01470447
187,0.0228782,0.01566601
188,0.0230637,0.0172267
189,0.0253419,0.014575
190,0.0231736,0.01644874
191,0.0239134,0.01509452
192,0.0223813,0.01632929
193,0.0239674,0.01713753
194,0.0241183,0.0154736
195,0.0223249,0.0145812
196,0.0225548,0.01622105
197,0.0244051,0.01569247
198,0.0236142,0.01613379
199,0.0236645,0.0163908
200,0.0240655,0.01561141
201,0.0238235,0.0159831
202,0.0232964,0.0169549
203,0.02635991,0.01567698
204,0.02266929,0.01530862
205,0.0235837,0.01606989
206,0.0234516,0.01560879
207,0.0229911,0.01607943
208,0.0239964,0.01523447
209,0.0231224,0.01720595
210,0.0254715,0.01570249
211,0.0249572,0.01679873
212,0.022387,0.01572537
213,0.02263691,0.01713371
214,0.0241077,0.01663113
215,0.0231388,0.01675677
216,0.0231326,0.01627779
217,0.0238936,0.01652765
218,0.023668,0.01590848
219,0.0235532,0.01714158
220,0.0237807,0.01562262
221,0.0243507,0.01618028
222,0.022715,0.0158546
223,0.0242066,0.0161829
224,0.024008,0.01656127
225,0.0223756,0.01591825
226,0.0227269,0.01664782
227,0.0231338,0.01622677
228,0.0233808,0.01717162
229,0.0230305,0.01779675
230,0.0248472,0.01757383
231,0.0235058,0.01511765
232,0.0246854,0.01645041
233,0.02542531,0.01779556
234,0.0239625,0.01518941
235,0.0230039,0.01557493
236,0.0232406,0.01685882
237,0.0240889,0.01553082
238,0.0237046,0.01529837
239,0.0221729,0.01645899
240,0.0233734,0.01663232
241,0.0235331,0.01660728
242,0.022497,0.01661325
243,0.0237997,0.01533341
244,0.0238697,0.01636124
245,0.0230943,0.01540494
246,0.0227419,0.01659417
247,0.0234176,0.0162375
248,0.0237908,0.01655841
249,0.0231701,0.01552916
250,0.0235498,0.01632071
251,0.0277169,0.01662421
252,0.0241002,0.01604271
253,0.0234644,0.01647186
254,0.023126,0.01564026
255,0.0241552,0.01759028
256,0.0236905,0.02243257
257,0.0296139,0.01676393
258,0.0243042,0.01681304
259,0.0234429,0.01674533
260,0.0237248,0.01661944
261,0.0236247,0.01606631
262,0.0237082,0.01763177
263,0.02462441,0.0175283
264,0.0230334,0.01720214
265,0.0245037,0.01662803
266,0.0242553,0.01709437
267,0.02231,0.0168829
268,0.0236075,0.01608205
269,0.0244185,0.01628232
270,0.0235582,0.0171144
271,0.0230763,0.0159595
272,0.0231063,0.01664662
273,0.0238236,0.01596642
274,0.022956,0.01556253
275,0.0237325,0.01682782
276,0.0248333,0.01667666
277,0.0229271,0.0166049
278,0.023714,0.01744723
279,0.0257487,0.0171566
280,0.0247217,0.01726961
281,0.0236356,0.01571584
282,0.0241743,0.01653695
283,0.0236356,0.01735592
284,0.0237187,0.0168314
285,0.0234172,0.01655746
286,0.023594,0.01663446
287,0.023921,0.01721191
288,0.023297,0.01676297
289,0.02375609,0.01722693
290,0.0246317,0.0164814
291,0.0230225,0.01597047
292,0.022802,0.01630187
293,0.0244686,0.01627183
294,0.0244678,0.01571727
295,0.0230634,0.01545835
296,0.0236038,0.01664519
297,0.0251084,0.01650286
298,0.0244049,0.0170784
299,0.0235992,0.01716232
300,0.02414481,0.01663923
301,0.0248262,0.01665831
302,0.023575,0.01888776
303,0.0251296,0.01724887
304,0.02417,0.01656199
305,0.0245239,0.01660085
306,0.023576,0.01677704
307,0.0245066,0.01730919
308,0.0239799,0.01920891
309,0.0251361,0.01623249
310,0.024083,0.01654291
311,0.0241906,0.01713705
312,0.0238857,0.01669931
313,0.0232259,0.01650786
