T,Elapsed,Simulate
0,0,0.02318382
1,0,0.02182555
2,0.01999999,0.01695681
3,0.0516285,0.01736283
4,0.0334406,0.01781249
5,0.0344727,0.01867175
6,0.0338486,0.01792073
7,0.0333944,0.01958752
8,0.0352824,0.01892376
9,0.0359687,0.01883054
10,0.0356126,0.01938915
11,0.036656,0.01768708
12,0.03780869,0.01843119
13,0.0351823,0.01848435
14,0.0358278,0.01808739
15,0.0342986,0.017205
16,0.0352967,0.01807785
17,0.034242,0.01815772
18,0.03281451,0.01679301
19,0.0308946,0.02130318
20,0.03609099,0.02029729
21,0.0382842,0.01659393
22,0.033145,0.02030444
23,0.0355931,0.01629472
24,0.0322773,0.01578474
25,0.0336462,0.01669717
26,0.0313462,0.01571131
27,0.0317531,0.01581836
28,0.0296024,0.01605964
29,0.03031229,0.01678395
30,0.0315895,0.01618385
31,0.0313993,0.0151403
32,0.0303837,0.01753616
33,0.0318213,0.01510334
34,0.0306961,0.01559901
35,0.0308408,0.01560497
36,0.0302969,0.0142808
37,0.0299349,0.01451087
38,0.02940381,0.01389885
39,0.029242,0.0167973
40,0.031909,0.02314067
41,0.0382986,0.02284265
42,0.038001,0.02264285
43,0.0376034,0.02199411
44,0.0412488,0.02231455
45,0.03874969,0.02479672
46,0.04038151,0.01445341
47,0.0287393,0.01407003
48,0.0304184,0.01297116
49,0.03172611,0.01450181
50,0.036124,0.01374078
51,0.0351528,0.01255965
52,0.044366,0.01486993
53,0.0479824,0.01394153
54,0.0311617,0.01309156
55,0.0316627,0.01406741
56,0.0293167,0.01347566
57,0.0288643,0.01272774
58,0.0269305,0.01351643
59,0.0293936,0.01264143
60,0.0299034,0.01206303
61,0.0276835,0.0149281
62,0.0301136,0.01183033
63,0.0279799,0.01212716
64,0.0266058,0.01325583
65,0.02840471,0.0126667
66,0.0371144,0.01211286
67,0.0278996,0.01259446
68,0.0279721,0.01360559
69,0.0286222,0.01199532
70,0.0268925,0.0120573
71,0.0277234,0.01343489
72,0.0285102,0.01202965
73,0.0273746,0.01197815
74,0.0276396,0.01274943
75,0.0280112,0.01265979
76,0.0269838,0.01156306
77,0.0269512,0.01322937
78,0.026901,0.01278448
79,0.0287316,0.01257753
80,0.0275759,0.01206732
81,0.02756271,0.01342201
82,0.0283865,0.01259017
83,0.0284037,0.01207209
84,0.0267644,0.01340461
85,0.0286469,0.01337099
86,0.028398,0.01211309
87,0.0276403,0.01283026
88,0.02854051,0.01156902
