T,Elapsed,Simulate
0,0,0.02836347
1,0,0.05084229
2,0.01999999,0.03275371
3,0.1138698,0.03915095
4,0.08181909,0.03226399
5,0.0717942,0.0314343
6,0.083928,0.03338838
7,0.0825777,0.03851461
8,0.0710815,0.03553867
9,0.0775604,0.03342605
10,0.064947,0.02567458
11,0.0581467,0.02599788
12,0.0700694,0.02617192
13,0.068282,0.02790284
14,0.0638894,0.02612424
15,0.06310409,0.02836919
16,0.0671571,0.03004622
17,0.0596003,0.03121185
18,0.0795611,0.03127122
19,0.0754502,0.02580929
20,0.0570004,0.02734518
21,0.0614528,0.03240132
22,0.0616165,0.0322032
23,0.0803206,0.03090405
24,0.0624212,0.02962875
25,0.0613896,0.02420735
26,0.066914,0.0246439
27,0.0603028,0.02436519
28,0.0521547,0.02102876
29,0.0499405,0.02528
30,0.0683832,0.02184415
31,0.0522272,0.02511621
32,0.0549443,0.02397537
33,0.0546041,0.02468944
34,0.0637938,0.0211575
35,0.0476523,0.02170038
36,0.04732431,0.02314401
37,0.0539598,0.02237344
38,0.0572056,0.02184248
39,0.0474848,0.02080655
40,0.046365,0.01987362
41,0.046417,0.02016807
42,0.04639889,0.02208591
43,0.0580202,0.02495599
44,0.0501974,0.02490878
45,0.0519794,0.02013421
46,0.0476764,0.02064061
47,0.0546117,0.02128386
48,0.0463343,0.01974392
49,0.0518174,0.02332258
50,0.055462,0.01981997
51,0.0605192,0.02160025
52,0.0575245,0.01796126
53,0.0654873,0.01889038
54,0.0798615,0.02103949
55,0.05475609,0.02004099
56,0.055307,0.02661967
57,0.0600452,0.02030396
58,0.0525282,0.02249122
59,0.0591492,0.01999831
60,0.0489064,0.02034378
61,0.0485358,0.01981068
62,0.0496138,0.02020645
63,0.0533669,0.02153802
64,0.04931,0.019804
65,0.049165,0.02039313
66,0.0519883,0.02126455
67,0.07382981,0.02022982
68,0.0456447,0.02079797
69,0.0463213,0.02019477
70,0.04702161,0.01971436
71,0.0556729,0.01962161
