Timestamp,X,Y,Z,Qx,Qy,Qz,Qw
13.38679,4.154482,0.8466477,0.3973731,0.03735551,0.04055785,-0.388523,0.9197878
13.41126,4.148106,0.8426288,0.3972238,0.05015233,0.03140791,-0.3559495,0.9326298
13.43551,4.143991,0.8396719,0.3973623,0.05908783,0.02749808,-0.3503121,0.9343628
13.45939,4.14318,0.8437896,0.3983952,0.05419345,0.02553984,-0.3639844,0.9294763
13.48243,4.146636,0.847868,0.4001816,0.0481242,0.03270209,-0.3742412,0.9255043
13.50503,4.148717,0.8534712,0.4014158,0.0399071,0.03296848,-0.3728525,0.9264457
13.53015,4.151238,0.859459,0.4024609,0.03075954,0.03317102,-0.366993,0.9291231
13.55286,4.155351,0.8652195,0.4033475,0.0217484,0.03774875,-0.3612174,0.9314634
13.57681,4.162351,0.8693931,0.4022241,0.01209729,0.04510213,-0.3701611,0.9277933
13.60009,4.165099,0.8763027,0.402008,0.002997566,0.04666456,-0.3661093,0.9293963
13.62335,4.169044,0.8828181,0.4010106,-0.006492718,0.05074412,-0.3580332,0.9323063
13.64665,4.171332,0.8888161,0.4004649,-0.01340719,0.05573215,-0.3547116,0.933217
13.66944,4.173697,0.8949429,0.399855,-0.02126477,0.06063787,-0.3582021,0.9314302
13.69331,4.173178,0.9044829,0.3988662,-0.03192623,0.06249964,-0.3595231,0.9304932
13.71663,4.172421,0.9081911,0.3975814,-0.03472766,0.06495311,-0.3566844,0.931317
13.74038,4.172013,0.9110923,0.3959724,-0.03764578,0.06832809,-0.3567028,0.930955
13.76322,4.171567,0.9151793,0.3943573,-0.04327957,0.07139485,-0.3601264,0.9291602
13.78607,4.17157,0.91869,0.3920665,-0.04912007,0.07558992,-0.365593,0.926399
13.80871,4.170583,0.9213415,0.3899356,-0.05358998,0.07890248,-0.3678701,0.9249725
13.83264,4.168661,0.9228075,0.3878347,-0.05532695,0.08153704,-0.3673724,0.9248396
13.85548,4.164901,0.9247704,0.3861358,-0.05704577,0.08081506,-0.3677149,0.9246624
13.87858,4.162343,0.9242769,0.3843349,-0.05623773,0.08355158,-0.3682218,0.9242668
13.90221,4.160906,0.9231527,0.3824605,-0.05469826,0.08965057,-0.3654654,0.9248816
13.9252,4.159006,0.9251024,0.3794022,-0.05859706,0.09480865,-0.3622065,0.9254103
13.94917,4.158987,0.9275873,0.3771672,-0.0649017,0.09947256,-0.3688287,0.9218777
13.97191,4.160166,0.9303245,0.3747444,-0.07291595,0.1057016,-0.3782744,0.9167437
13.99484,4.16182,0.9341806,0.3719435,-0.08320388,0.1122012,-0.3830133,0.9131204
14.01822,4.163336,0.9388502,0.3696013,-0.09326116,0.1190818,-0.38388,0.9109105
14.04115,4.165181,0.9414014,0.3669114,-0.1003109,0.125095,-0.3853033,0.9087521
14.06398,4.165723,0.9445288,0.3648276,-0.1075053,0.130352,-0.3897222,0.9052998
14.08656,4.166993,0.9473066,0.3627406,-0.1152273,0.1367362,-0.3966844,0.9003707
14.10935,4.169379,0.9523716,0.3599249,-0.1269326,0.1444872,-0.4010012,0.8956616
14.13237,4.172426,0.9587513,0.3568081,-0.1405244,0.1522035,-0.4040277,0.8909818
14.15627,4.176525,0.965949,0.3531785,-0.1553238,0.1603911,-0.4068774,0.8857765
14.17909,4.181384,0.972391,0.3490751,-0.1713592,0.1696069,-0.4156945,0.876965
14.20221,4.187437,0.9787346,0.3440383,-0.1892338,0.1797077,-0.4284615,0.8650529
14.22746,4.196351,0.9887748,0.3354375,-0.2167385,0.1943971,-0.4413283,0.8488013
14.25077,4.201213,0.9958103,0.3294232,-0.2331758,0.2042231,-0.4416714,0.8419313
14.27408,4.206746,1.001191,0.3229291,-0.2481416,0.2157043,-0.4408538,0.8351918
14.29716,4.209191,1.009095,0.3176868,-0.2639665,0.2299658,-0.4381906,0.8279048
14.32185,4.215277,1.014603,0.309872,-0.2815223,0.2442221,-0.4406096,0.8166786
14.34577,4.220182,1.019838,0.3028429,-0.2985517,0.2570021,-0.444084,0.8047398
14.36991,4.229352,1.025714,0.2888835,-0.3237119,0.2769334,-0.4440635,0.7882424
14.3929,4.234272,1.027365,0.2799794,-0.3365597,0.2911789,-0.4461105,0.7764844
14.41603,4.237625,1.027142,0.2724733,-0.3468642,0.303329,-0.4516633,0.7639876
14.44681,4.239319,1.028397,0.2665924,-0.3560143,0.3137988,-0.454626,0.7537237
14.47391,4.241345,1.030024,0.25819,-0.3679142,0.3272296,-0.4563229,0.7411676
14.51007,4.242896,1.033018,0.2485914,-0.3816728,0.3399446,-0.4540333,0.7298064
14.54736,4.246464,1.033971,0.2322221,-0.4020899,0.3616289,-0.4543766,0.7078772
14.57242,4.247828,1.033527,0.2248452,-0.4073559,0.375508,-0.4515304,0.6994107
14.59632,4.249885,1.032227,0.2170661,-0.4105628,0.3916898,-0.4456068,0.6924247
14.61925,4.249857,1.034162,0.2100177,-0.4087188,0.4122175,-0.4269828,0.6933335
14.64312,4.250628,1.034906,0.2016107,-0.4053555,0.4344767,-0.4083797,0.6929234
14.66709,4.251579,1.033049,0.1925998,-0.4009547,0.4573722,-0.3965176,0.6876189
14.69044,4.251396,1.032207,0.1852136,-0.3959239,0.477245,-0.3865626,0.6826792
14.71377,4.248524,1.032221,0.1788223,-0.3808054,0.502733,-0.3727483,0.6806655
