Timestamp,X,Y,Z,Qx,Qy,Qz,Qw
13.38679,4.168612,1.728751,0.4593773,-0.300807,0.3727167,0.5778404,0.6608313
13.41126,4.169343,1.728172,0.4572625,-0.3003013,0.3740976,0.5773929,0.6606721
13.43551,4.169549,1.727937,0.4567091,-0.2999062,0.3739324,0.5771837,0.6611277
13.45939,4.168121,1.726801,0.4569596,-0.299684,0.372399,0.5771387,0.6621325
13.48243,4.16743,1.725954,0.4568484,-0.2991101,0.3724914,0.5780007,0.6615879
13.50503,4.167237,1.725493,0.4559929,-0.2984223,0.3735093,0.5778963,0.6614158
13.53015,4.167661,1.72496,0.4560381,-0.2963614,0.3739857,0.5778112,0.6621472
13.55286,4.167881,1.723675,0.4569683,-0.294754,0.3731427,0.5774233,0.6636768
13.57681,4.167012,1.722919,0.4571669,-0.2947561,0.3722668,0.5773929,0.664194
13.60009,4.165826,1.72286,0.4568191,-0.2957873,0.3718289,0.5772856,0.6640743
13.62335,4.16612,1.722533,0.4565513,-0.2962353,0.3722069,0.5774763,0.6634966
13.64665,4.165751,1.722634,0.4560336,-0.2966094,0.3726372,0.5767388,0.6637294
13.66944,4.165821,1.722493,0.4557353,-0.2964198,0.3732361,0.575897,0.6642083
13.69331,4.164734,1.72206,0.4558315,-0.2951954,0.3729442,0.5769433,0.6640096
13.71663,4.165171,1.721718,0.4550816,-0.2946476,0.3742872,0.5763593,0.6640044
13.74038,4.165512,1.721475,0.4542454,-0.2937039,0.3758525,0.5763294,0.6635641
13.76322,4.166089,1.721604,0.4539328,-0.29303,0.3770832,0.5754872,0.6638947
13.78607,4.165188,1.720888,0.4540642,-0.291298,0.3767808,0.5780518,0.6625993
13.80871,4.164849,1.720659,0.4539697,-0.2910896,0.3770636,0.5772118,0.663262
13.83264,4.165136,1.720626,0.4532592,-0.2903217,0.3783445,0.5770003,0.6630532
13.85548,4.165413,1.720185,0.4528662,-0.2886565,0.3793199,0.5777549,0.6625656
13.87858,4.16608,1.719799,0.4519096,-0.2886177,0.3801229,0.5756617,0.6639428
13.90221,4.165854,1.719053,0.4521659,-0.2865048,0.3807219,0.5777128,0.6627321
13.9252,4.166621,1.718591,0.452272,-0.2856045,0.3813151,0.5762034,0.6640922
13.94917,4.166454,1.718046,0.4521221,-0.2855112,0.3811183,0.5757479,0.6646401
13.97191,4.16643,1.71758,0.4518247,-0.2847906,0.3815066,0.5764246,0.6641398
13.99484,4.166358,1.717618,0.4507462,-0.2856463,0.3824247,0.5754682,0.6640738
14.01822,4.165545,1.717548,0.4500091,-0.2863665,0.382797,0.5757667,0.6632897
14.04115,4.164649,1.717447,0.4493552,-0.2871725,0.3824778,0.5759147,0.6629969
14.06398,4.164228,1.716979,0.4485759,-0.2871639,0.383057,0.5765026,0.6621548
14.08656,4.164442,1.716161,0.4485856,-0.2856682,0.3841692,0.5772958,0.6614661
14.10935,4.165151,1.714863,0.4486425,-0.2837355,0.3846129,0.5773949,0.6619533
14.13237,4.16679,1.713361,0.449215,-0.2808567,0.3852327,0.5778587,0.6624157
14.15627,4.166431,1.712865,0.4494847,-0.2791687,0.3858294,0.5780811,0.6625879
14.17909,4.165702,1.712023,0.4494123,-0.2779229,0.3867027,0.5786669,0.6620911
14.20221,4.16606,1.710908,0.4492814,-0.2765215,0.3876208,0.5794384,0.6614659
14.22746,4.168011,1.709095,0.448175,-0.2743671,0.3896019,0.5796688,0.6609972
14.25077,4.16798,1.708916,0.4470761,-0.2727392,0.3920064,0.5798849,0.660059
14.27408,4.167638,1.70883,0.4463913,-0.2719892,0.3937787,0.5793561,0.6597779
14.29716,4.16592,1.708648,0.4466844,-0.2703896,0.3950939,0.5802563,0.6588573
14.32185,4.164833,1.708589,0.4471928,-0.2690477,0.3960949,0.5813665,0.6578261
14.34577,4.164095,1.708609,0.4468827,-0.2674087,0.398027,0.5825441,0.6562847
14.36991,4.163048,1.708406,0.4473092,-0.2649818,0.3997709,0.5833277,0.6555126
14.3929,4.162007,1.708045,0.4469953,-0.2644078,0.3998935,0.5837034,0.6553351
14.41603,4.159616,1.708019,0.44744,-0.263991,0.3991325,0.5858418,0.6540577
14.44681,4.157418,1.7085,0.4471906,-0.2638863,0.3996792,0.5870265,0.6527025
14.47391,4.155467,1.709054,0.4467985,-0.2637178,0.4013091,0.5873937,0.6514388
14.51007,4.151852,1.708925,0.4484736,-0.2642344,0.3993079,0.5891742,0.6508511
14.54736,4.144501,1.710089,0.4480194,-0.2697814,0.396503,0.5907493,0.6488596
14.57242,4.139514,1.711306,0.4473571,-0.2753942,0.3928341,0.5897065,0.6496813
14.59632,4.134531,1.711857,0.4472876,-0.2770891,0.3898763,0.5935048,0.647279
14.61925,4.131179,1.711576,0.4472618,-0.2768935,0.3879561,0.5969851,0.645313
14.64312,4.129264,1.711193,0.4468596,-0.2744973,0.3873285,0.599553,0.6443322
14.66709,4.129071,1.71079,0.4459197,-0.2688364,0.3900895,0.6017314,0.6430213
14.69044,4.129612,1.710127,0.4450157,-0.2616087,0.3942848,0.6044376,0.6409022
14.71377,4.129809,1.708933,0.4440992,-0.2530224,0.3972084,0.6071904,0.6399415
14.73694,4.128719,1.708536,0.442516,-0.2482196,0.3998491,0.6095855,0.6378976
14.76402,4.126432,1.70878,0.4412465,-0.2456228,0.4010205,0.6117452,0.6360973
14.78811,4.123302,1.708724,0.4404218,-0.242861,0.4011385,0.6164647,0.6325169
14.8105,4.118182,1.709027,0.4406333,-0.2419164,0.3998477,0.6205161,0.6297286
14.83421,4.114858,1.70973,0.4400063,-0.2396869,0.4008563,0.6234404,0.6270459
14.85697,4.11122,1.71013,0.4399382,-0.2367145,0.4012549,0.627456,0.6239068
14.88016,4.103737,1.709548,0.4413373,-0.2324469,0.3976046,0.6373717,0.6177673
14.90328,4.096964,1.709745,0.4427022,-0.2317441,0.3937213,0.6429511,0.6147292
14.92654,4.090823,1.710312,0.4443939,-0.2307339,0.3902419,0.6484274,0.6115677
14.95055,4.08456,1.710987,0.4456027,-0.2299492,0.3880619,0.6530083,0.6083679
14.97444,4.079304,1.712032,0.4452549,-0.2285434,0.38794,0.6587287,0.6027827
14.99861,4.073614,1.713225,0.4447775,-0.2269776,0.3878947,0.6651564,0.5963103
15.02461,4.064474,1.715462,0.4445335,-0.2276436,0.3880365,0.6683305,0.5924023
15.04752,4.057888,1.716638,0.4447044,-0.2286351,0.3875786,0.6706113,0.5897366
15.07047,4.051764,1.718475,0.4446073,-0.2300736,0.3885232,0.6721374,0.5868111
15.09341,4.045796,1.720117,0.4445985,-0.2312222,0.389384,0.6732162,0.584548
15.12036,4.040699,1.72079,0.445161,-0.2308536,0.3892947,0.674328,0.5834706
15.14324,4.036222,1.720605,0.4467336,-0.2279641,0.3887291,0.6763694,0.5826204
15.16578,4.031171,1.720067,0.448967,-0.2250346,0.3871005,0.6789629,0.5818264
15.1885,4.026129,1.720492,0.4508447,-0.2230318,0.3878351,0.680533,0.580272
15.21253,4.021697,1.722146,0.4508321,-0.2227961,0.3915597,0.679669,0.5788723
15.23557,4.017759,1.724881,0.4499417,-0.2236837,0.3978652,0.6749769,0.5797197
15.25846,4.008297,1.726411,0.4535872,-0.2229773,0.3974274,0.6769106,0.5780351
15.28106,4.000616,1.725944,0.4576804,-0.220891,0.3947754,0.6814222,0.5753464
15.30467,3.993364,1.727098,0.4600848,-0.2202966,0.3969698,0.6835729,0.5715001
15.32805,3.986277,1.729253,0.4612606,-0.2226148,0.4008283,0.6827924,0.5688356
15.35145,3.977531,1.729992,0.464475,-0.2242237,0.4004582,0.6840169,0.5669903
15.37437,3.96851,1.730066,0.4695984,-0.2226958,0.3990739,0.6879179,0.56384
15.39747,3.960397,1.730664,0.473722,-0.2211901,0.4003556,0.6901304,0.5608122
15.43296,3.947791,1.732806,0.4789346,-0.2210303,0.4040582,0.6903557,0.5579352
15.45606,3.937972,1.733725,0.4837337,-0.2211249,0.4037599,0.691646,0.5565137
15.47986,3.927913,1.734396,0.489127,-0.2199144,0.4027951,0.6949589,0.5535577
15.50244,3.913291,1.737091,0.4967374,-0.2179792,0.40396,0.6988567,0.5485443
15.52494,3.904647,1.739526,0.5003811,-0.2177426,0.4064151,0.6991405,0.5464591
15.54765,3.89711,1.743407,0.5025848,-0.2178041,0.4122611,0.6972891,0.5444172
15.57049,3.88914,1.748042,0.5036006,-0.2199822,0.4197583,0.6938893,0.5421517
15.59334,3.880119,1.753084,0.5047311,-0.2248895,0.425775,0.6892062,0.5414196
15.61654,3.871641,1.758221,0.5047889,-0.230808,0.4319487,0.6827685,0.5421948
15.64068,3.864579,1.762733,0.5046525,-0.2323505,0.4397695,0.6791674,0.5397663
15.66351,3.858719,1.766008,0.5054472,-0.2260544,0.4500419,0.6798949,0.5330147
15.68697,3.855054,1.768756,0.50419,-0.2196352,0.4616292,0.6779816,0.5282044
15.71079,3.851659,1.772718,0.5023755,-0.2157403,0.4716628,0.6709518,0.5299188
15.73346,3.847495,1.772114,0.5070944,-0.2062208,0.4736875,0.6711076,0.5317026
15.75656,3.84156,1.774801,0.506072,-0.2078543,0.4798045,0.6646785,0.5336542
15.7793,3.836546,1.774789,0.5087005,-0.1982003,0.4842128,0.667822,0.5294039
15.80296,3.825937,1.776831,0.5099203,-0.1958054,0.489214,0.6656316,0.5284549
15.82602,3.81662,1.778215,0.5108498,-0.1982197,0.4897515,0.6653659,0.5273904
15.85033,3.806135,1.78073,0.5110295,-0.2043047,0.4903225,0.6632752,0.5271711
15.87318,3.796507,1.781792,0.5122241,-0.206052,0.4911216,0.6631318,0.5259262
15.8962,3.787716,1.782742,0.5138662,-0.204528,0.4914947,0.6636212,0.5255551
15.91921,3.780681,1.782421,0.5159963,-0.1982756,0.4928292,0.6653811,0.5244751
15.94236,3.773894,1.782622,0.5159198,-0.1954204,0.4954678,0.665041,0.5234913
15.9653,3.767356,1.783659,0.5140077,-0.1950596,0.499771,0.6622509,0.5230721
15.98812,3.760073,1.784687,0.5119628,-0.1945898,0.5045171,0.6587406,0.5231233
16.01428,3.747935,1.784703,0.5079747,-0.1945392,0.5107638,0.6538862,0.5231708
16.03705,3.739148,1.784214,0.5059686,-0.1930545,0.5133368,0.6529832,0.5223297
16.06161,3.731444,1.782883,0.5029537,-0.1881452,0.518704,0.6511036,0.5211638
16.08453,3.724998,1.781553,0.4984265,-0.1830162,0.5266503,0.6458071,0.5216106
16.1074,3.71866,1.779903,0.4933041,-0.1769662,0.5359824,0.6392319,0.5222916
16.13012,3.711853,1.77771,0.4884175,-0.1707536,0.5440187,0.6336266,0.5228807
16.15263,3.70384,1.775234,0.4835897,-0.1648676,0.5510844,0.628074,0.5240685
16.17532,3.696126,1.771924,0.478682,-0.1551759,0.5594883,0.6248224,0.522006
16.19852,3.685429,1.769871,0.4722591,-0.1514618,0.5674053,0.6218024,0.5181431
16.22126,3.673987,1.767993,0.4650963,-0.1499465,0.5753459,0.617241,0.5152733
16.24399,3.663486,1.765318,0.4572567,-0.1438303,0.5850339,0.6127342,0.5114734
16.26789,3.652412,1.762672,0.4491917,-0.1372917,0.593999,0.6089692,0.5074176
16.29067,3.634185,1.759371,0.434883,-0.133556,0.6099816,0.5965312,0.504218
16.31316,3.625426,1.755379,0.4276151,-0.1120719,0.622707,0.5965604,0.4937525
16.33594,3.616525,1.750572,0.4258707,-0.08653199,0.6281469,0.6020616,0.485248
16.35828,3.603681,1.748315,0.4223886,-0.07233336,0.633885,0.6039691,0.477681
16.38119,3.589755,1.747096,0.4180993,-0.06305841,0.6397473,0.6042834,0.470732
16.40512,3.574572,1.748163,0.411883,-0.05800537,0.6477409,0.6026059,0.4625293
16.42858,3.560979,1.749315,0.4052893,-0.04701411,0.6566441,0.6021232,0.4517254
16.46247,3.541401,1.751997,0.3951297,-0.03055997,0.6712818,0.5979518,0.4369216
16.49946,3.521678,1.754331,0.387425,-0.01359016,0.6822124,0.5962161,0.4229988
16.53451,3.500027,1.759035,0.3796487,-0.005018263,0.6933342,0.5917183,0.4112566
16.5726,3.474341,1.762721,0.3746342,0.01724521,0.7010104,0.594663,0.393272
16.61686,3.443572,1.771628,0.3663664,0.02892107,0.7155549,0.5925013,0.3688996
16.65108,3.426084,1.773853,0.3590566,0.04875303,0.7236721,0.5928133,0.349992
16.68538,3.409606,1.774132,0.3503274,0.06612319,0.7319947,0.5895283,0.3350639
16.72526,3.385232,1.776837,0.3395374,0.07943193,0.7439376,0.5867836,0.3097295
16.7604,3.352987,1.778061,0.3163446,0.09799878,0.7642038,0.5764719,0.272156
16.79906,3.321935,1.777781,0.2981691,0.1176758,0.7810087,0.5683946,0.2304462
16.83314,3.284991,1.780352,0.2858322,0.1361538,0.7977651,0.5562793,0.1886433
16.868,3.251815,1.777451,0.2694609,0.1565067,0.8122362,0.5416824,0.1495263
16.9026,3.218554,1.774355,0.2570593,0.1800225,0.8216021,0.5296224,0.1098274
16.93847,3.170765,1.771761,0.2419158,0.2003189,0.8347281,0.5095518,0.05880845
16.97379,3.137485,1.76927,0.2330128,0.2211528,0.841364,0.4925981,0.02334816
17.03519,3.071563,1.761797,0.2172473,-0.2672794,-0.8520225,-0.4474234,0.04931255
17.05859,3.050367,1.76141,0.216316,-0.2783507,-0.8518646,-0.4382967,0.06887373
17.08158,3.030264,1.760788,0.216895,-0.2856177,-0.8524781,-0.4293606,0.08575064
17.10459,3.01293,1.760593,0.217884,-0.2901715,-0.853553,-0.4216617,0.09720711
17.12869,2.998725,1.760315,0.2180582,-0.2986667,-0.8529171,-0.4145543,0.1071238
17.15312,2.984125,1.760537,0.2180755,-0.3077234,-0.8506904,-0.4097442,0.1172255
17.17658,2.968175,1.762742,0.2197628,-0.314982,-0.8466628,-0.4089629,0.1292205
17.20124,2.952893,1.765255,0.2236938,-0.3199689,-0.8421158,-0.4103164,0.1417791
17.22551,2.929145,1.762733,0.2231029,-0.3330735,-0.8394967,-0.3978837,0.1612325
17.24901,2.916745,1.761747,0.2240798,-0.3367081,-0.83853,-0.3954173,0.1647433
17.27245,2.902764,1.7629,0.2271674,-0.3324794,-0.8381104,-0.3982196,0.1686698
17.29606,2.888046,1.763353,0.2301074,-0.3266899,-0.8381928,-0.4004875,0.1741159
17.3197,2.871487,1.762766,0.2306518,-0.3298723,-0.8358237,-0.3984742,0.1838517
17.34844,2.842849,1.759965,0.2293229,-0.3368792,-0.8344346,-0.3859425,0.2031741
17.37221,2.824334,1.756851,0.2280251,-0.3408794,-0.834834,-0.3762174,0.2128708
17.39553,2.804669,1.755219,0.2280069,-0.3371869,-0.836216,-0.3709048,0.2224353
17.41949,2.784692,1.754173,0.2291705,-0.3330361,-0.8362845,-0.3679924,0.2330167
17.44325,2.763871,1.75333,0.2293268,-0.3327549,-0.8350551,-0.3640983,0.2437
17.46964,2.734468,1.751692,0.2284114,-0.3394203,-0.8308877,-0.3571423,0.2585903
17.49385,2.712075,1.751132,0.2282513,-0.3428537,-0.8279669,-0.3521315,0.2700473
17.51808,2.691772,1.750392,0.2282515,-0.3465499,-0.8248174,-0.3468976,0.2814988
17.54168,2.671896,1.75006,0.2277785,-0.3504417,-0.8218095,-0.3427204,0.2904521
17.56697,2.652482,1.748722,0.2264019,-0.3555064,-0.8184468,-0.3382437,0.2989169
17.59067,2.62271,1.746765,0.2245913,-0.3663351,-0.8116266,-0.3290864,0.3142662
