T,Elapsed,Simulate
0,0,0.03342772
1,0,0.02217889
2,0.01999999,0.02156591
3,0.0981865,0.02313542
4,0.0427064,0.02159381
5,0.0557506,0.02311015
6,0.0439515,0.0234983
7,0.0507081,0.02576017
8,0.0481031,0.02159905
9,0.0749388,0.01813698
10,0.042432,0.02066207
11,0.042826,0.01911592
12,0.0368721,0.02309036
13,0.0437054,0.01897979
14,0.03625901,0.0201416
15,0.0389429,0.01987529
16,0.038908,0.02040768
17,0.0393673,0.01871395
18,0.0368162,0.03216124
19,0.0513446,0.02581191
20,0.0500912,0.01997328
21,0.046761,0.025702
22,0.0479366,0.02211308
23,0.0401389,0.02119684
24,0.0436668,0.01534796
25,0.0337017,0.02500391
26,0.05077029,0.02766132
27,0.0539969,0.02623296
28,0.0464718,0.0166924
29,0.0337909,0.0200417
30,0.0382009,0.01815319
31,0.034552,0.01596808
32,0.0334918,0.02066922
33,0.0456963,0.02371311
34,0.0419966,0.01734257
35,0.0360357,0.0255475
36,0.0470056,0.02146482
37,0.0398934,0.0199163
38,0.0361023,0.01517463
39,0.0327183,0.02368617
40,0.0398917,0.03427005
41,0.0502946,0.02791023
42,0.0465371,0.03120041
43,0.0489332,0.02474642
44,0.0433025,0.02775693
45,0.0472995,0.02261019
46,0.0415723,0.01605654
47,0.0341004,0.01645136
48,0.03428331,0.01721716
49,0.0360875,0.01966286
50,0.0447831,0.01639199
51,0.0377909,0.01292014
52,0.0490775,0.01670146
53,0.0508744,0.01636028
54,0.03481749,0.01361299
55,0.03158781,0.01481867
56,0.03013559,0.01358271
57,0.02918231,0.01257873
58,0.0299262,0.01518631
59,0.0340459,0.01974201
60,0.0377808,0.01162124
61,0.0303971,0.01420665
62,0.0335445,0.01428533
63,0.03494031,0.01344085
64,0.032671,0.01241016
65,0.0304602,0.01570916
66,0.034078,0.01265073
67,0.0305866,0.0130434
68,0.0308104,0.01421332
69,0.0304202,0.01256013
70,0.0367016,0.01367235
71,0.0289365,0.01862669
72,0.0379196,0.01461911
73,0.0345828,0.01249385
74,0.0300934,0.01543856
75,0.0375927,0.01258087
76,0.0320204,0.01430488
77,0.0312169,0.01411581
78,0.0312877,0.01351428
79,0.0320544,0.01441169
80,0.0318009,0.01264524
81,0.0308062,0.01260519
82,0.04889509,0.01730371
83,0.0349059,0.01194239
84,0.0309064,0.01638603
85,0.0329931,0.01366901
86,0.03093051,0.01266766
87,0.0341806,0.0191164
88,0.042698,0.01553297
89,0.0344527,0.01262832
90,0.0285702,0.01259232
91,0.030169,0.01264954
92,0.0293441,0.02058148
93,0.0386037,0.02265143
94,0.0487392,0.0135932
95,0.0310641,0.01409125
96,0.0328556,0.01408386
97,0.0329272,0.01358581
98,0.038896,0.01257491
99,0.0298246,0.01309896
100,0.0336282,0.0131135
101,0.030117,0.01349854
102,0.0295745,0.01511073
103,0.032269,0.01525879
104,0.0412581,0.01304483
105,0.0316839,0.01533031
106,0.0316175,0.01311278
107,0.0384796,0.02271938
108,0.0410388,0.02116632
109,0.0386358,0.01373076
110,0.0311422,0.01259518
111,0.0306082,0.0176518
112,0.0435803,0.01999736
113,0.04516939,0.01508617
114,0.0376488,0.02115345
115,0.039897,0.0226016
116,0.04323,0.01745749
117,0.03659131,0.01201534
118,0.0279637,0.01318169
119,0.0332503,0.01864386
120,0.0360437,0.0118742
121,0.0295296,0.01311541
122,0.033692,0.01207972
123,0.0363965,0.01826
124,0.0547777,0.01156902
125,0.0308169,0.01258636
126,0.0296786,0.0126071
127,0.0298969,0.01237845
128,0.028307,0.0131309
129,0.0302464,0.01082945
130,0.0275075,0.01157284
131,0.0272468,0.01837826
132,0.0442369,0.01158333
133,0.0298382,0.01344371
134,0.0292838,0.01279402
135,0.0304594,0.02291989
136,0.0459302,0.01261854
137,0.0290796,0.01215768
138,0.0365438,0.01312518
139,0.0302853,0.01287198
140,0.0299624,0.01219559
141,0.0303201,0.01555777
142,0.0350558,0.01474905
143,0.0311858,0.01651716
144,0.0402303,0.01163483
145,0.03006239,0.01355433
146,0.03192061,0.01456738
147,0.03437129,0.01410842
148,0.0317062,0.01578856
149,0.03401281,0.01306176
150,0.0301663,0.01279235
151,0.0294959,0.01728034
152,0.0358982,0.01261377
153,0.0296293,0.01458406
154,0.0315035,0.01258039
155,0.0322954,0.01479173
156,0.0334919,0.01358438
157,0.0313773,0.01357651
158,0.0335829,0.01457667
159,0.0453262,0.01945472
160,0.0404956,0.01639342
161,0.0338746,0.01372886
162,0.0353616,0.01259398
163,0.0312547,0.01601219
164,0.0351123,0.01368332
165,0.0306498,0.01960015
166,0.0432838,0.01875377
167,0.0478596,0.01733232
168,0.0399351,0.01963401
169,0.0438159,0.01834702
170,0.047323,0.01711679
171,0.0377656,0.01945877
172,0.0376279,0.01360345
173,0.0327568,0.0146966
174,0.0321121,0.01430225
175,0.0296308,0.01520371
176,0.037063,0.01494575
177,0.033183,0.01486683
178,0.0329858,0.0182898
179,0.0356028,0.02065039
180,0.0418115,0.01762772
181,0.0365208,0.01511884
182,0.034363,0.01732397
183,0.03776801,0.01254034
184,0.0312699,0.01412821
185,0.0312016,0.01336432
186,0.0297241,0.01305628
187,0.03168359,0.01261187
188,0.0325406,0.01363826
189,0.0323913,0.01260138
190,0.0320248,0.01415014
191,0.0299644,0.01281834
192,0.0359098,0.01245165
193,0.0363801,0.01332784
194,0.03833919,0.01267648
195,0.04959391,0.0195806
196,0.0377297,0.01252508
197,0.0317012,0.01308751
198,0.0310097,0.01361609
199,0.0303284,0.01291966
200,0.0304905,0.01517892
201,0.0336427,0.01719642
202,0.0346792,0.01683736
203,0.0386514,0.01322985
204,0.0359895,0.01209402
205,0.0286984,0.01657796
206,0.03967559,0.01303673
207,0.0286552,0.01289558
208,0.0307525,0.01309752
209,0.0296984,0.0141294
210,0.02994841,0.01506734
211,0.033494,0.01565862
212,0.0322404,0.01555991
213,0.0416823,0.01357675
214,0.0331637,0.01402855
215,0.0307994,0.01335526
216,0.0301232,0.01520014
217,0.032257,0.01773381
218,0.0436091,0.01258588
219,0.0298305,0.0170927
220,0.0367648,0.01465726
221,0.0374036,0.01955199
222,0.0375645,0.0125978
223,0.0298554,0.01712036
224,0.0350598,0.01738858
225,0.0401327,0.01479077
226,0.0338052,0.01820135
227,0.03638081,0.01307988
228,0.0308333,0.01521802
229,0.0332388,0.02089381
230,0.04208279,0.02182961
231,0.0423798,0.01563764
232,0.03404609,0.01329756
233,0.0293947,0.01227045
234,0.02924,0.01937771
235,0.042698,0.017169
236,0.0343763,0.01615262
237,0.0455788,0.01311994
238,0.03200779,0.01383209
239,0.03303771,0.02103567
240,0.046249,0.01518583
241,0.0302051,0.01708937
242,0.0355589,0.01478791
