Timestamp,X,Y,Z,Qx,Qy,Qz,Qw
3.424074,4.162335,1.022017,0.1910539,0.06983723,0.3989526,0.1419626,0.9032199
3.445941,4.162745,1.019675,0.1925204,0.07342415,0.3971891,0.1419289,0.9037178
3.466081,4.163214,1.01776,0.1931895,0.0758657,0.3963225,0.1411283,0.904022
3.48643,4.164464,1.015891,0.1929333,0.0772353,0.3960536,0.1401298,0.9041792
3.506438,4.164461,1.01587,0.1936056,0.07768958,0.3959396,0.1397268,0.9042525
3.526511,4.164468,1.016503,0.1945138,0.07718369,0.3959156,0.1390184,0.9044155
3.54837,4.16484,1.017316,0.1950016,0.07603335,0.3960443,0.1386958,0.9045061
3.568302,4.165248,1.018695,0.1955656,0.07469137,0.3965226,0.1389458,0.90437
3.58816,4.165718,1.019867,0.1961337,0.07395537,0.3970617,0.1390283,0.9041812
3.609511,4.16647,1.020771,0.1966641,0.07407868,0.3978277,0.1390598,0.9038296
3.630721,4.167275,1.02191,0.1970863,0.07445259,0.3992377,0.1391666,0.9031604
3.650399,4.167761,1.022588,0.1971228,0.07455209,0.3998829,0.1397204,0.9027812
3.670185,4.168635,1.024045,0.1974707,0.074627,0.4012677,0.1416818,0.9018543
3.690392,4.169631,1.025934,0.1976193,0.07378138,0.4028987,0.1432922,0.9009419
3.710299,4.169501,1.028664,0.1986976,0.07285031,0.4046576,0.144747,0.8999963
3.730085,4.170773,1.030556,0.1984597,0.0724123,0.4068582,0.1466312,0.8987337
3.751115,4.171543,1.031029,0.1980401,0.07252158,0.408273,0.1475902,0.8979259
3.771146,4.172416,1.033366,0.1977514,0.07268659,0.4117348,0.1497109,0.8959786
3.791144,4.174489,1.034603,0.1960211,0.07265779,0.415885,0.1511711,0.8938164
3.811033,4.176467,1.035931,0.1938208,0.07188522,0.4208834,0.151619,0.8914603
3.831176,4.17871,1.03783,0.1911641,0.07034291,0.4265597,0.15157,0.8888899
3.85159,4.179355,1.039162,0.1904284,0.06959186,0.4292614,0.1515527,0.8876505
3.871657,4.183528,1.03921,0.1853039,0.06757648,0.4352912,0.1510127,0.8849578
3.891768,4.185901,1.041274,0.1821043,0.06540121,0.4416111,0.1498046,0.8821909
3.911778,4.189291,1.042341,0.1774251,0.06282366,0.4485285,0.1482038,0.8791535
3.931577,4.193141,1.043313,0.1719408,0.06182593,0.4554737,0.1496522,0.8754002
3.952266,4.195066,1.045573,0.1679337,0.06245015,0.4627059,0.1534892,0.8708871
3.978947,4.197063,1.047925,0.1638498,0.06398021,0.4706064,0.1574299,0.8658245
4.002678,4.199233,1.04946,0.1588582,0.06579669,0.4796319,0.159893,0.8602664
4.03359,4.202898,1.053092,0.1491591,0.06562742,0.4964192,0.1614352,0.8504115
4.069151,4.207108,1.05679,0.1356055,0.06231477,0.5170907,0.1603955,0.8384553
4.089091,4.209652,1.059396,0.1259764,0.0616527,0.5310732,0.1606746,0.8296649
4.109176,4.211436,1.061999,0.1151874,0.06176275,0.5459164,0.1613654,0.8198304
4.129035,4.212267,1.063352,0.1092365,0.06195006,0.5537569,0.1614303,0.814528
4.149286,4.21313,1.066675,0.0970367,0.06240128,0.5695683,0.1623086,0.8033393
4.170597,4.212814,1.070725,0.08355354,0.06383642,0.586421,0.1652155,0.7904044
