T,Elapsed,Simulate
0,0,0.02280998
1,0,0.01960087
2,0.01999999,0.01723361
3,0.0438379,0.0176897
4,0.02533961,0.02094793
5,0.0288865,0.01753163
6,0.0256719,0.01896882
7,0.0261885,0.01941848
8,0.0266543,0.0165062
9,0.0228196,0.01899648
10,0.0260572,0.01871967
11,0.0266802,0.01743674
12,0.0247084,0.01817703
13,0.0244446,0.01684785
14,0.0253218,0.01882219
15,0.0262559,0.01779771
16,0.0248673,0.01919675
17,0.0245122,0.01764345
18,0.0253821,0.01749015
19,0.0253106,0.01715636
20,0.022485,0.01551485
21,0.0231165,0.01532316
22,0.0237223,0.01763344
23,0.0235779,0.01736426
24,0.0233319,0.01523447
25,0.0228471,0.017869
26,0.0240526,0.01566625
27,0.0227554,0.01518917
28,0.0222644,0.01523137
29,0.0235769,0.01607943
30,0.0222764,0.0152328
31,0.02196621,0.01467085
32,0.02180169,0.01616693
33,0.0220952,0.01604724
34,0.0224376,0.0160501
35,0.0230347,0.01599884
36,0.0221856,0.0150063
37,0.0220035,0.0142858
38,0.0206717,0.01613188
39,0.0217757,0.01938438
40,0.02542,0.02276826
41,0.02968411,0.02328396
42,0.0315095,0.02332282
43,0.0296294,0.02394319
44,0.0309657,0.02198792
45,0.0279298,0.0261972
46,0.0340098,0.01588583
47,0.0223702,0.01403975
48,0.0213634,0.01246595
49,0.0194795,0.01405668
50,0.020391,0.01408458
51,0.0197535,0.01463127
52,0.0207525,0.0130868
53,0.0201365,0.01401639
54,0.0208905,0.01465607
55,0.0201813,0.01455998
56,0.0212867,0.01328206
57,0.0205587,0.01254058
58,0.0190835,0.01378059
59,0.0202762,0.01476741
60,0.02070641,0.0153234
61,0.021367,0.01468968
62,0.0212269,0.01223445
63,0.0193957,0.01241159
64,0.0184038,0.01223254
65,0.0201287,0.01296139
66,0.0185228,0.01232433
67,0.0188248,0.0125556
68,0.01898819,0.01306629
69,0.0191179,0.01254964
70,0.01921901,0.01348019
71,0.0206011,0.01361752
72,0.019571,0.01207495
73,0.0194627,0.01204634
74,0.0198778,0.01331472
75,0.0208501,0.01258993
76,0.0199814,0.01316571
77,0.0191015,0.01289177
78,0.0191663,0.01259136
79,0.0195495,0.0121634
80,0.0189362,0.01165771
81,0.0187647,0.01335073
82,0.0207688,0.01256418
83,0.01927659,0.01474667
84,0.020962,0.01224494
85,0.0197979,0.01313972
86,0.0193536,0.01300311
87,0.0197356,0.01307082
88,0.0199734,0.01351976
89,0.0196875,0.01361227
90,0.0213041,0.01287556
91,0.023391,0.01318717
92,0.0227897,0.01348305
93,0.0220824,0.01377821
94,0.0210425,0.01290512
95,0.0203664,0.01259661
96,0.0190515,0.01637793
97,0.02351701,0.01108146
98,0.0183301,0.01237226
99,0.0188072,0.01309133
100,0.0200117,0.01215696
101,0.0190293,0.01231527
102,0.0205424,0.01228189
103,0.018593,0.01365924
104,0.0197518,0.01257205
105,0.0192284,0.01255727
106,0.0183925,0.01283216
107,0.0202648,0.01163363
108,0.0181704,0.01338816
109,0.0206181,0.0134418
110,0.0202437,0.01359272
111,0.019085,0.01260781
112,0.0189252,0.01243305
113,0.0183721,0.0110867
114,0.0187116,0.01203561
115,0.0197741,0.01178598
116,0.0187027,0.01254129
117,0.0192386,0.01311493
118,0.0197544,0.01078057
119,0.0192958,0.01507449
120,0.0222118,0.01280236
121,0.0192804,0.0117588
122,0.01822,0.01292777
123,0.0185016,0.01178646
124,0.0187846,0.01347446
125,0.0192086,0.01154971
126,0.0181214,0.01218438
127,0.0175881,0.01162386
128,0.0193098,0.01168895
129,0.0196856,0.01307106
130,0.0196031,0.01263428
131,0.0182545,0.0122509
132,0.01883871,0.01324391
133,0.020914,0.01209474
134,0.01903781,0.01364803
135,0.0196263,0.01354074
136,0.0190027,0.01380658
137,0.0192961,0.01289248
138,0.0202332,0.01214075
139,0.0183464,0.01306629
140,0.0197871,0.0125668
141,0.01937839,0.01267767
142,0.0194881,0.01358271
143,0.020179,0.01209831
144,0.0181573,0.01208448
145,0.01881669,0.01324844
146,0.0182615,0.01263857
147,0.0189378,0.01271176
148,0.0198574,0.01218057
149,0.0200514,0.01638627
